Name,Value,Age,IP
"Yimi Presinal",5.62376,21.5479,14
"Will McCausland",5.6113,22.4658,21
"Ethan Pecko",5.59824,23.6164,16
"Brooks Caple",5.59592,23.6219,24
"Michael Hilker",5.5931,21.6164,18
"Jecsua Liborius",5.5766,20.8575,15
"Paulshawn Pasqualotto",5.56769,24.8137,12
"Emiliano Teodo",5.56749,25.1425,16
"Malachi Witherspoon",5.56358,21.6493,20
"Herick Hernandez",5.55753,22.6548,19
"Darlin Saladin",5.54795,23.274,12
"Luis Mey",5.52858,24.7863,11
"Drew Rom",5.52598,26.3123,17
"Winyer Chourio",5.52598,22.4219,21
"Brandon Young",5.52377,27.6356,16
"Jacob Mayers",5.51864,21.8219,16
"Louis Marinaro",5.51004,21.611,12
"Zach Maxwell",5.50812,25.1945,13
"Levi Sterling",5.4967,19.5918,26
"Jacob Zibin",5.44647,21.1808,22
"L.P. Langevin",5.44109,22.7589,12
"Davis Chastain",5.43913,21.7863,15
"Isaac Gallegos",5.43143,23.5534,12
"Kamdyn Perry",5.39795,20.6575,13
"Douglas Orellana",5.38105,23.9342,13
"Braylon Owens",5.35169,23.3205,26
"Griffin Kilander",5.33318,22.7699,17
"Brandon Neely",5.31089,22.7479,11
"Yilber Díaz",5.30941,25.6329,17
"Jesus Castro",5.2864,18.8274,19
"Jackson Kent",5.28195,23.1534,18
"Josh Grosz",5.27827,23.5863,19
"Ubaldo Soto",5.27597,19.7342,22
"Adonys Perez",5.26565,22.4904,13
"Ovis Portes",5.25959,21.3397,25
"Aidan Cremarosa",5.25911,22.4932,34
"Yariel Rodríguez",5.25089,29.0795,13
"Seth Clausen",5.24271,23.0822,15
"Josh Stephan",5.20468,24.4301,35
"Luke Fernandez",5.16772,22.0685,19
"Joe Rock",5.1527,25.6904,11
"Mason McGwire",5.14992,22.2521,20
"Jordan Woods",5.09408,22.3973,26
"Dylan Smith",5.04023,25.8603,12
"Luis Gutierrez",5.03734,22.6849,12
"Will Gagnon",5.03439,22.1726,12
"Steven Echavarria",5.02109,20.6658,26
"Beck Way",5.01536,26.6712,22
"Eric Cerantola",5.01277,25.9315,12
"Yu-Min Lin",4.98926,22.737,29
"Jake Bennett",4.91343,25.3452,21
"Carlos Medina",4.91284,21.4082,23
"Chayce McDermott",4.89528,27.6274,12
"Chase Petty",4.88061,23.0082,28
"Roddery Muñoz",4.76591,25.9808,13
"Marino Santy",4.75936,24.0932,17
"Kellan Oakes",4.75497,21.8274,15
"Michael Lombardi",4.73266,22.5452,21
"A.J. Causey",4.70891,23.3808,13
"Rolddy Muñoz",4.70267,25.9808,14
"Nick Sando",4.68809,24.9068,15
"Carson Whisenhunt",4.67917,25.463,36
"Jose Meneses",4.63067,21.0767,14
"Eli Jones",4.62494,22.8055,40
"Santiago Suarez",4.59402,21.2329,23
"Alex McFarlane",4.57688,24.8274,12
"Ty Van Dyke",4.54395,22.674,29
"Garrett Hodges",4.54043,22.7808,18
"Luke Fox",4.50886,24.2548,19
"Wilian Bormie",4.49987,23.1178,16
"Edgar Colon",4.48717,20.0658,25
"Kelena Sauer",4.47715,23.5288,14
"Luis Arestigueta",4.47598,20.4767,14
"Gage Ziehl",4.45497,22.8959,23
"Gage Wood",4.44648,22.3096,22
"Anderson Brito",4.43733,21.7479,23
"Troy Taylor",4.41652,24.5753,15
"Cesar Perdomo",4.38436,24.1562,26
"Justin Campbell",4.37476,25.1425,19
"Alex Wallace",4.37068,21.9808,27
"Nelson Keljo",4.36171,22.5288,17
"Myles Caba",4.34792,24.6274,17
"Gabriel Barbosa",4.34621,24.2055,15
"Daniel Guerra",4.29948,22.0658,31
"Luis Carias",4.25694,21.5151,19
"Zuher Yousuf",4.22471,19.8685,19
"Chad Dallas",4.22219,25.7808,25
"Patrick Copen",4.22066,24.1397,32
"Amilcar Chirinos",4.1965,24.4137,13
"Caden Dana",4.19498,22.3041,16
"Cole Hertzler",4.19456,22.7945,22
"Jacob Kuhn",4.18765,21.8055,16
"Michael Watson",4.17075,23.8027,15
"Sandro Santana",4.15571,21.0822,16
"Seth Halvorsen",4.14833,26.1342,14
"Eric Loomis",4.14789,24.0301,11
"Miguel Ullola",4.13537,23.8,28
"Victor Mederos",4.13188,24.8301,19
"Miguel Flores",4.10678,21.474,20
"Cannon Pickell",4.09858,23.5096,13
"Jackson Kirkpatrick",4.09226,23.6438,11
"Christian Foutch",4.08352,22.3068,17
"Gage Stanifer",4.08262,22.3836,23
"Josh Hartle",4.0598,23.0384,34
"Jose Martinez",4.05949,21.2438,16
"Anfernny Reyes",4.05915,22.1178,14
"Philip Abner",4.05405,23.9233,11
"Joe Whitman",4.03138,24.5534,33
"Carson Myers",4.01227,22.8438,17
"Domingo González",3.99132,26.5288,15
"Robert Gasser",3.9613,26.8548,17
"Trevor Martin",3.95,25.3096,15
"Rordy Mejia",3.92987,20.9397,18
"Chase Mobley",3.92846,19.8356,13
"Robby Ahlstrom",3.92335,26.8027,20
"Alex Santos II",3.90906,24.1534,12
"Ethan Walker",3.89777,21.7699,21
"Yonleg Gaetano",3.8959,20.6493,12
"Alix Hernandez",3.87238,21.7233,14
"Yunior Tur",3.84955,26.663,16
"Victor Juarez",3.84553,22.8,16
"Cameron Weston",3.84502,25.611,19
"Brandon Neeck",3.84009,26.4685,14
"Mauricio Estrella",3.83178,21.9753,19
"Jonathan Santucci",3.82178,23.274,27
"Corey Avant",3.82052,24.4164,28
"Nelfy Ynfante",3.81998,21.1753,18
"Yunior Marte",3.78778,22.5781,28
"Clevari Tejada",3.7808,21.5342,14
"Khal Stephen",3.76952,23.2931,33
"Brandyn Garcia",3.76374,25.863,12
"Dawson Brown",3.7535,24.7753,15
"Levi Wells",3.72847,24.5425,32
"Jose Pena",3.72829,22.7479,13
"Jose Guzman",3.72414,21.6,11
"Alexander Meckley",3.72066,22.737,30
"David Davalillo",3.71291,23.5425,23
"Mason Nichols",3.70702,22.9562,16
"Hunter Parks",3.69092,24.9425,14
"Aaron Munson",3.68644,24.063,16
"Brandan Bidois",3.68175,24.7945,15
"Wilkin Ramos",3.67089,25.4329,19
"Hancel Rincón",3.61775,23.9425,21
"Yokelvin Reyes",3.61722,22.0219,22
"Michael Forret",3.60813,22,31
"Jack Anker",3.59161,21.9945,20
"Lyon Richardson",3.57937,26.2192,21
"Cody Bowker",3.55912,22.3014,20
"Ivran Romero",3.54277,24.3808,17
"Keegan Batka",3.5359,23.9342,12
"Jacob Pruitt",3.52125,22.6466,12
"Ryan Dromboski",3.50493,22.8493,27
"Zach Brzykcy",3.49821,26.7397,13
"Geury Rodriguez",3.49668,21.4603,12
"Charlie McDaniel",3.49473,24.7589,20
"Bryan Balzer",3.49473,21.4411,28
"Eybersson Polanco",3.4872,22.5918,20
"Jaden Woods",3.46019,24.1781,16
"Carlos Carra",3.4585,19.3781,21
"Jay Driver",3.4534,24.1123,18
"Raimy Rodriguez",3.45257,20.7233,12
"Luke Gabrysh",3.44868,22.9753,20
"Kiefer Lord",3.43314,23.7918,24
"Jacob Frost",3.42786,22.8986,21
"Nick Falter",3.42407,22.9425,19
"Camden Minacci",3.42381,24.2274,14
"Cade Crossland",3.42296,22.1781,27
"Braulio Salas",3.42115,21.4164,17
"Johnathan Lavallee",3.41708,26.6575,16
"Jarrette Bonet",3.4149,20.6795,31
"Ryan Lambert",3.41384,23.5945,11
"Ryan Gallagher",3.40048,23.2137,18
"Bryan Magdaleno",3.3957,25.1205,14
"Miguel Mendez",3.39149,23.7671,14
"Dax Fulton",3.3768,24.474,20
"Tyler Schweitzer",3.36148,25.5479,21
"Jack Sinclair",3.3603,26.9315,15
"Jake Clemente",3.35758,22.4055,16
"Hayden Merda",3.3504,26.0466,13
"Marty Gair",3.3499,22.7233,11
"Ben Peterson",3.32662,24.6356,13
"Dalton Pence",3.32229,23.6082,24
"Blake Wolters",3.31559,21.4466,27
"Trey Gibson",3.30245,23.8877,24
"Andrew Magno",3.30052,27.9397,15
"Shane Smith",3.29849,26.0082,13
"Joey Danielson",3.29718,25.2356,12
"Christian Romero",3.26622,23.3205,35
"Yenrri Rojas",3.2616,22.3507,23
"Matt Waldron",3.25739,29.5315,12
"Brody Hopkins",3.25264,24.2164,35
"Jhon Medina",3.25086,20.2384,21
"Owen Hackman",3.24578,24.4274,17
"Bailey Falter",3.23818,28.9562,13
"Luis Gastelum",3.23793,24.526,19
"Garrett Langrell",3.2297,24.9233,16
"Jack Ralston",3.22576,28.6521,21
"Eddy Yean",3.21123,24.7836,17
"Austin Emener",3.1883,23.8493,20
"Henry Lalane",3.18453,21.8849,15
"Jose Miguel Rodriguez",3.18434,22.2493,16
"Junior Ciprian",3.17501,20.8438,24
"Marlon Nieves",3.16357,20.8219,15
"Riley Cornelio",3.15462,25.8356,31
"Rio Britton",3.15315,23.2877,17
"Ben Simon",3.15248,24.0438,12
"Wilber Dotel",3.15036,23.5315,21
"Jay Dill",3.13714,23.3808,15
"Cody Morse",3.13638,22.9507,13
"Daury Vasquez",3.13018,19.9699,16
"Will Bednar",3.12637,25.8164,11
"Andrew Baker",3.11471,26.0384,12
"Adam Serwinowski",3.10945,21.8301,24
"Angel Jimenez",3.10856,22.7589,22
"Vince Reilly",3.09626,24.8329,18
"Hiro Wyatt",3.09325,21.6137,25
"Irv Carter",3.09199,23.4932,13
"Alex Breckheimer",3.0861,22.5671,19
"Zach Royse",3.07584,22.0712,28
"Charlie Weber",3.07174,21.9644,15
"Tom Harrington",3.06462,24.737,29
"Jacob Roberts",3.06287,24.3589,14
"Jordan Henriquez",3.05437,21.9342,17
"Johan Moreno",3.04976,23.0329,16
"Bishop Letson",3.02995,21.5562,22
"Brandon Downer",3.02974,22.9096,16
"Brock Porter",3.028,22.8438,15
"Bryce Mayer",3.02456,24.1507,18
"Jake Shelagowski",3.02318,22.3863,22
"Hunter Hodges",2.99451,23.5096,12
"Rafe Schlesinger",2.97816,23.2055,22
"Jacob Odle",2.9706,22.3507,20
"Casey Hintz",2.96261,22.4219,15
"Carter Lovasz",2.943,23.1808,15
"Thomas Conrad",2.94114,20.526,17
"Jervis Alfaro",2.93553,22.4521,23
"Joey Mancini",2.91406,25.5068,18
"Jesus Lafalaise",2.91074,21.1671,22
"Ethan Cole",2.89227,22.3616,26
"Dominick Reid",2.88235,22.3562,28
"Xavier Kolhosser",2.86905,22.7644,14
"Max Banks",2.86728,22.9178,32
"Troy Guthrie",2.86085,20.4219,25
"Alexis Torres",2.85856,23.0603,13
"Tony Rossi",2.85259,26.7534,11
"Jesús Broca",2.83792,22.474,16
"Dawson Netz",2.82592,25.6767,19
"Juaron Watts-Brown",2.80032,24.1178,21
"Moises Morales",2.79814,22.1397,23
"Noah Beal",2.79681,24.3507,13
"Bryant Olson",2.78936,23.2986,11
"Garrett Baumann",2.78667,21.6411,31
"Carlos Rey",2.77976,23.8849,11
"Alex Carrillo",2.77694,28.8384,11
"José Acuña",2.76825,23.463,34
"Chen-Wei Lin",2.75269,24.3726,22
"Nick Dean",2.74398,25.2795,24
"Alex Cook",2.74119,25.0247,12
"Grayson Grinsell",2.73811,22.1753,19
"Gavin Bruni",2.73593,23.4849,21
"Stiven Cruz",2.72807,24.3945,18
"C.J. Culpepper",2.72615,24.4274,22
"JD McReynolds",2.72554,23.0521,11
"Trevor Harrison",2.71272,20.6603,23
"Sawyer Hawks",2.7059,22.7836,14
"Leomar Rosario",2.7022,22.8219,17
"Kyle Carr",2.69708,23.9205,28
"Carlos Duran",2.68316,24.6877,14
"Sean Sullivan",2.67927,23.7096,33
"Tate Kuehner",2.67409,25.1616,36
"Evan Taylor",2.66702,26.2822,15
"Stevie Emanuels",2.65986,27.1863,13
"Allen Facundo",2.65305,23.5918,23
"Jake Shirk",2.64817,23.8384,16
